VegClass,ARDO_mean,polygon_id,overall_area,arundo_area,ardo_condition
Arundo,0.625,87,1.3676670260281527,0.8547918912675955,Knocked Down
Arundo,0.625,88,0.18062100973881254,0.11288813108675784,Standing
Arundo,0.25,193,1.4382486595580675,0.35956216488951687,Standing
Arundo,0.25,194,1.0038598209799896,0.2509649552449974,Standing
Developed,0.03,108,6.083445438503763,0.1825033631551129,Knocked Down
Developed,0.005,9,2.2661774924188767,0.011330887462094383,Knocked Down
Developed,0.005,37,1.8736976621549561,0.00936848831077478,Knocked Down
Developed,0.005,89,1.1957267983960058,0.005978633991980029,Knocked Down
Developed,0.005,92,2.1663753463162445,0.010831876731581223,Knocked Down
Developed,0.005,93,0.6220312170507718,0.003110156085253859,Knocked Down
Developed,0.005,111,5.603488633606546,0.028017443168032733,Knocked Down
Herbaceous,0.005,10,3.0576267683145044,0.015288133841572522,Knocked Down
Herbaceous,0.005,70,0.6316067572998666,0.003158033786499333,Knocked Down
Herbaceous,0.005,101,1.1470271895719426,0.005735135947859713,Knocked Down
Herbaceous,0.005,109,7.307147059660216,0.03653573529830108,Knocked Down
Herbaceous,0.005,117,0.7274885094439859,0.00363744254721993,Knocked Down
Herbaceous,0.005,127,0.1137414636524487,5.687073182622435e-4,Knocked Down
Herbaceous,0.005,128,0.16000732115746305,8.000366057873152e-4,Knocked Down
Herbaceous,0.005,132,0.3384438982184281,0.0016922194910921405,Knocked Down
Herbaceous,0.005,144,1.2861931498794152,0.006430965749397076,Knocked Down
Herbaceous,0.005,181,0.5571542197979263,0.002785771098989632,Knocked Down
Herbaceous,0.005,196,0.38853503181948307,0.0019426751590974154,Knocked Down
Riverwash,0.005,48,21.796206124760943,0.10898103062380471,Knocked Down
Riverwash,0.005,95,3.95694926441135,0.01978474632205675,Knocked Down
Riverwash,0.005,100,6.552962662928327,0.032764813314641636,Knocked Down
Riverwash,0.005,104,3.908971169163303,0.019544855845816517,Knocked Down
Riverwash,0.005,115,23.28909966259724,0.11644549831298621,Knocked Down
